Peak #,Ret. Time,Letter,Type,Width,Area,Start Time,End Time,Sample Number,Treatment,File Name,Leaf Area,Compound Name,Tetralin Corrected,Leaf Area Corrected,Plant Volume,Water Status,Average 48 Hour Temp,Max 48 Hour Temp,Average 48 Hour Humidity,,Site,Date
1,14.05,d,rVB,0.149,2948827,13.966,14.115,175,High,TIC: 013007.D,36.18,,0.992476726,0.02743164,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
2,14.33,,rBB,0.195,3076991,14.247,14.441,175,High,TIC: 013007.D,36.18,,1.03561245,0.028623893,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
3,17.35,j,rBB,0.16,2971180,17.297,17.457,175,High,TIC: 013007.D,36.18,Tetralin,1,0.02763958,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
4,18.52,n,rBV,0.086,129450,18.487,18.573,175,High,TIC: 013007.D,36.18,,0.043568549,0.001204216,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
5,18.65,p,rVB,0.057,209618,18.63,18.687,175,High,TIC: 013007.D,36.18,,0.070550421,0.001949984,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
6,18.72,q,rVB,0.109,366587,18.687,18.796,175,High,TIC: 013007.D,36.18,,0.123380946,0.003410198,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
7,18.95,s,rBV,0.097,519234,18.893,18.99,175,High,TIC: 013007.D,36.18,,0.174756831,0.004830205,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
8,22.3,ff,rVB,0.069,93102,22.269,22.338,175,High,TIC: 013007.D,36.18,,0.031335025,0.000866087,22632,14.75,88.63,113.335,30.45,,SouthForkNorth,8/12/12
1,14.05,d,rBV,0.149,3476146,13.978,14.127,187,High,TIC: 013006.D,21.6,,1.200144729,0.055562256,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
2,14.33,,rBB,0.2,3609887,14.258,14.459,187,High,TIC: 013006.D,21.6,,1.246319014,0.057699954,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
3,17.35,j,rBV,0.149,2896439,17.28,17.428,187,High,TIC: 013006.D,21.6,Tetralin,1,0.046296296,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
4,18.52,n,rBV,0.069,167388,18.487,18.556,187,High,TIC: 013006.D,21.6,,0.057790963,0.002675508,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
5,18.65,p,rVV,0.057,281974,18.63,18.687,187,High,TIC: 013006.D,21.6,,0.097351955,0.004507035,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
6,18.72,q,rVB,0.109,504024,18.687,18.796,187,High,TIC: 013006.D,21.6,,0.174015058,0.008056253,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
7,18.95,s,rBV,0.092,684833,18.893,18.985,187,High,TIC: 013006.D,21.6,,0.236439642,0.01094628,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
8,20.97,aa,rBV,0.051,133673,20.947,20.999,187,High,TIC: 013006.D,21.6,,0.046150808,0.002136611,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
9,21.02,bb,rVV,0.046,115205,20.999,21.045,187,High,TIC: 013006.D,21.6,,0.039774703,0.001841421,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
10,22.3,ff,rBV,0.08,637882,22.269,22.349,187,High,TIC: 013006.D,21.6,,0.220229737,0.010195821,63480,,70.57,88.167,74.48,,ToadPond2,8/18/12
1,14.119,,BV  ,0.052,5487952,14.028,14.228,192,Control,TIC: 0218201402.D,22.5,,0.105771075,0.004700937,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
2,14.771,,BV  ,0.041,35773842,14.6,14.867,192,Control,TIC: 0218201402.D,22.5,,0.689480834,0.030643593,9464,,70.57,88.167,74.5,,ToadPond2,8/18/12
